input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
KAT6A		TRIM75P	KAT6A
ZC3H14		LINC01608	ZC3H14
NCK2		LINC01217	NCK2
NT5DC3		SPATA8	NT5DC3
SLIT2		M1AP	SLIT2
LIPC		CD109	LIPC
SEZ6L		ARPP21	SEZ6L
ARF1P3		DLGAP5	ARF1P3
ZNF648		BEND5	ZNF648
LINC01898		TUBB4BP5	LINC01898
IER5L		RPS26P24	IER5L
HS3ST3B1		C8orf37	HS3ST3B1
ZFAND3		MRPL35P2	ZFAND3
RF00003		PRKN	RF00003
SF3A3		RF00004	SF3A3
RNF138P2		PGBD5	RNF138P2
RPS29P6		IQCJ-SCHIP1	RPS29P6
EDNRB-AS1		MAP1LC3BP1	EDNRB-AS1
NDUFAF6		CALD1	NDUFAF6
LINC01304		LINC02419	LINC01304
ENOX2		ZNF510	ENOX2
LINC00237		PSAP	LINC00237
DCAF8L1		ANKRD50	DCAF8L1
CNN2P6		CLINT1	CNN2P6
IRS1		CDK8	IRS1
MTND6P25		BPI	MTND6P25
SMAP2		EEF1B2P2	SMAP2
SOBP		IKZF1	SOBP
TTC4P1		AHCYL2	TTC4P1
GRIN3A		LINC00879	GRIN3A
HSPD1P15		EFHB	HSPD1P15
GRAMD1B		LINC02269	GRAMD1B
IMPDH1P8		DHDDS	IMPDH1P8
HTR1B		LINC01592	HTR1B
OSBPL1A		RPL36P19	OSBPL1A
PPP1R3A		TGFA	PPP1R3A
LINC02242		NDST4	LINC02242
SNHG26		CCDC196	SNHG26
FLRT3		KIRREL3-AS1	FLRT3
LDHAL6EP		SYNM	LDHAL6EP
SETD5		SNRPCP3	SETD5
LINC01013		BASP1	LINC01013
MC3R		LINC01886	MC3R
ETS1		AKAP11	ETS1
KANSL1		LRRFIP2	KANSL1
PAIP1		NAV2	PAIP1
IFI16		SON	IFI16
ANK2		ERVMER61-1	ANK2
CTH		BLOC1S3	CTH
COL11A1		ANP32A	COL11A1
OR7H2P		ZC4H2	OR7H2P
MT3		SLC4A10	MT3
ZDHHC19		PCDH10	ZDHHC19
LINC01850		RAG2	LINC01850
MME		HMGN2P40	MME
ENPP4		CRYZL1	ENPP4
LINC01884		MICAL3	LINC01884
NFIL3		LINC02554	NFIL3
RPN1		LINC02433	RPN1
CAT		LINC01248	CAT
PRPS2		MRPL42P2	PRPS2
AIG1		PAXBP1P1	AIG1
NCOR2		CHRDL1	NCOR2
ALS2		PKHD1	ALS2
PROX1-AS1		NOVA1	PROX1-AS1
HDGFL1		Z98043.1	HDGFL1
SCARNA20		LINC01706	SCARNA20
GBP6		ARHGEF11	GBP6
SREK1		LINC01653	SREK1
DNAH5		OSBP2	DNAH5
HIPK2		RF00401	HIPK2
CCNY		HNRNPA1P63	CCNY
DEPTOR		LINC00559	DEPTOR
ACTL8		LINC01488	ACTL8
MTUS2-AS2		SKOR1	MTUS2-AS2
PRDM1		VEZT	PRDM1
LHX8		CATSPERB	LHX8
TRDC		LINC01494	TRDC
MON1B		LINC01119	MON1B
PRAMEF1		ZNF229	PRAMEF1
CHAF1B		ENDOU	CHAF1B
KCTD14		POTEB2	KCTD14
SAMD9L		LINC00870	SAMD9L
KIF27		EMCN	KIF27
FAM85B		HDAC9	FAM85B
EXO5		LINC01142	EXO5
KY		RF01225	KY
ICE1		SPRED1	ICE1
